iter	CrossEntropy
0	0.599203662
1	0.5250896702
2	0.47115221
3	0.4373309201
4	0.4074098838
5	0.3877793416
6	0.3690713234
7	0.3575383317
8	0.3457428491
9	0.3378350083
10	0.3307051055
11	0.3262801346
12	0.3216350651
13	0.3194892484
14	0.3151533534
15	0.3125978335
16	0.3104158471
17	0.3088219455
18	0.3068469434
19	0.3056381734
20	0.3049229498
21	0.3037986964
22	0.3017454016
23	0.3010676037
24	0.3006302283
25	0.2994871324
26	0.2992046785
27	0.2986827588
28	0.2983352042
29	0.2981213241
30	0.2978108781
31	0.2976027688
32	0.2972766612
33	0.2969171672
34	0.2967272827
35	0.2964407598
36	0.2960091184
37	0.2958517348
38	0.2956678954
39	0.2954523167
40	0.2948650781
41	0.2947333058
42	0.2945972438
43	0.2945043798
44	0.2942900614
45	0.2942073858
46	0.2932291243
47	0.2931526179
48	0.2928963989
49	0.29284463
50	0.2926471589
51	0.2925915349
52	0.2924201974
53	0.2922082681
54	0.2917463832
55	0.2916456188
56	0.2915583782
57	0.291511517
58	0.2913718577
59	0.2912366246
60	0.2905709598
61	0.2904108149
62	0.2903989103
63	0.2903164961
64	0.2902833091
65	0.290197799
66	0.2901187207
67	0.2900438253
68	0.2899680141
69	0.2895796112
70	0.2895060073
71	0.2894805872
72	0.2894433827
73	0.2893842432
74	0.2893379441
75	0.2891972743
76	0.2891522646
77	0.2890430475
78	0.2889828165
79	0.2888750069
80	0.2887459805
81	0.2886990201
82	0.288585177
83	0.2885220527
84	0.288076364
85	0.287999595
86	0.2878730969
87	0.2878071884
88	0.2877342039
89	0.2876545996
90	0.2875637467
91	0.287489598
92	0.2874064707
93	0.2873700345
94	0.2872612116
95	0.2871886999
96	0.2871383416
97	0.2870644289
98	0.2869956165
99	0.2869508207
