iter	Passed	Remaining
0	4	450
1	8	407
2	12	391
3	15	379
4	19	367
5	23	362
6	26	358
7	30	353
8	34	348
9	37	340
10	41	334
11	44	328
12	48	325
13	52	322
14	55	317
15	59	311
16	62	307
17	67	305
18	71	303
19	74	298
20	78	296
21	82	292
22	86	289
23	89	284
24	93	281
25	97	278
26	101	275
27	105	271
28	109	268
29	113	265
30	117	260
31	121	257
32	125	254
33	128	250
34	132	246
35	136	243
36	140	239
37	144	236
38	148	232
39	152	229
40	156	225
41	160	222
42	165	218
43	168	214
44	172	211
45	176	207
46	180	204
47	185	200
48	188	196
49	192	192
50	196	188
51	200	184
52	204	181
53	208	177
54	212	173
55	215	169
56	220	166
57	224	162
58	228	158
59	231	154
60	235	150
61	239	146
62	243	142
63	246	138
64	250	135
65	254	131
66	258	127
67	262	123
68	266	119
69	270	115
70	274	112
71	278	108
72	282	104
73	285	100
74	289	96
75	293	92
76	297	88
77	301	84
78	305	81
79	309	77
80	313	73
81	317	69
82	321	65
83	325	62
84	329	58
85	333	54
86	338	50
87	342	46
88	346	42
89	350	38
90	354	35
91	358	31
92	363	27
93	366	23
94	370	19
95	374	15
96	378	11
97	382	7
98	386	3
99	390	0
